Cycle Number,Heat Rate 1 [C/min],Ramp 1 Duration [min],Temperature Dwell 1 [min],Heat Rate 2 [C/min],Ramp 2 Duration [min],Temperature Dwell 2 [min],Vacuum Pressure (*Patm) [Pa],Vacuum Start Time [min],Vacuum Duration [min],Autoclave Pressure (*Patm) [Pa],Autoclave Start Time [min],Autoclave Duration [min],AD. Porosity (%),PR. Porosity (%),Eff. Porosity (%),Max (Fiber Volume Fraction) (%),Cure Cycle Total Time [min],AD. Volume [m^3],PR. Volume [m^3]
17,2,80,120,0,0,0,0.01,20,180,2,20,180,1.619444989,0,1.602672983,56.7591,200,2.47E-09,2.63E-11
18,2,80,120,0,0,0,0.01,20,180,2,40,160,1.619444902,0,1.616875713,56.7591,200,2.47E-09,4.00E-12
19,2,80,120,0,0,0,0.01,20,180,2,60,140,1.619444965,0,1.616875776,56.7591,200,2.47E-09,4.00E-12
20,2,80,120,0,0,0,0.01,20,180,2,80,120,1.619444965,0,1.616875776,56.7678,200,2.47E-09,4.00E-12
21,2,80,120,0,0,0,0.01,20,180,3,1,199,1.619444955,0,1.585484974,57.6412,200,2.47E-09,5.39E-11
22,2,80,120,0,0,0,0.01,20,180,3,20,180,1.619444902,0,1.586766626,57.6412,200,2.47E-09,5.18E-11
23,2,80,120,0,0,0,0.01,20,180,3,40,160,1.619444885,0,1.616875696,57.6412,200,2.47E-09,4.00E-12
24,2,80,120,0,0,0,0.01,20,180,3,60,140,1.619445071,0,1.616875881,57.6412,200,2.47E-09,4.00E-12
25,2,80,120,0,0,0,0.01,20,180,3,80,120,1.619444965,0,1.616875776,57.659,200,2.47E-09,4.00E-12
26,2,80,120,0,0,0,0.01,20,180,4,1,199,1.619444902,12.41569769,2.00307866,58.5233,200,2.47E-09,8.11E-11
27,2,80,120,0,0,0,0.01,20,180,4,20,180,1.619444902,24.17367143,2.51584634,58.5233,200,2.47E-09,7.89E-11
28,2,80,120,0,0,0,0.01,20,180,4,40,160,1.619444885,7.367453124,1.682964044,58.5233,200,2.47E-09,2.60E-11
29,2,80,120,0,0,0,0.01,20,180,4,60,140,1.61958218,0,1.617012777,58.5233,200,2.47E-09,4.00E-12
30,2,80,120,0,0,0,0.01,20,180,4,80,120,1.619444965,0,1.616875776,58.5506,200,2.47E-09,4.00E-12
31,2,80,120,0,0,0,0.01,40,160,2,1,199,69.40976062,18.33081808,69.23572552,56.76,200,2.47E-09,2.26E-11
32,2,80,120,0,0,0,0.01,40,160,2,20,180,69.40976062,31.24672943,69.25887313,56.76,200,2.47E-09,2.21E-11
33,2,80,120,0,0,0,0.01,40,160,2,40,160,69.40976062,0,69.40935768,56.76,200,2.47E-09,4.69E-14
34,2,80,120,0,0,0,0.01,40,160,2,60,140,69.40976062,0,69.40935768,56.76,200,2.47E-09,4.69E-14
35,2,80,120,0,0,0,0.01,40,160,2,80,120,69.40976062,0,69.40935768,56.7688,200,2.47E-09,4.69E-14
36,2,80,120,0,0,0,0.01,40,160,3,1,199,69.40976062,55.10075203,69.2181866,57.6422,200,2.47E-09,4.93E-11
37,2,80,120,0,0,0,0.01,40,160,3,20,180,69.40976062,39.66768179,69.11566461,57.6422,200,2.47E-09,4.87E-11
38,2,80,120,0,0,0,0.01,40,160,3,40,160,69.40976062,24.7448988,69.31255487,57.6422,200,2.47E-09,1.33E-11
39,2,80,120,0,0,0,0.01,40,160,3,60,140,69.40981932,0,69.40941639,57.6422,200,2.47E-09,4.69E-14
40,2,80,120,0,0,0,0.01,40,160,3,80,120,69.40976062,0,69.40935768,57.66,200,2.47E-09,4.69E-14
41,2,80,120,0,0,0,0.01,40,160,4,1,199,69.40976062,49.05096293,69.03612079,58.5243,200,2.47E-09,7.70E-11
42,2,80,120,0,0,0,0.01,40,160,4,20,180,69.40976062,25.59514733,68.86006766,58.5243,200,2.47E-09,7.65E-11
43,2,80,120,0,0,0,0.01,40,160,4,40,160,69.40976062,34.30494121,69.16658559,58.5243,200,2.47E-09,3.71E-11
44,2,80,120,0,0,0,0.01,40,160,4,60,140,69.40981933,0,69.4094164,58.5243,200,2.47E-09,4.69E-14
45,2,80,120,0,0,0,0.01,40,160,4,80,120,69.40976062,0,69.40935768,58.5515,200,2.47E-09,4.69E-14
46,2,80,120,0,0,0,0.01,60,140,2,1,199,88.28801035,90.18431015,88.3084402,56.7628,200,2.47E-09,2.26E-11
47,2,80,120,0,0,0,0.01,60,140,2,20,180,88.28801035,84.65688972,88.26344903,56.7628,200,2.47E-09,2.21E-11
48,2,80,120,0,0,0,0.01,60,140,2,40,160,88.28801035,44.79973275,88.24087186,56.7628,200,2.47E-09,1.27E-11
49,2,80,120,0,0,0,0.01,60,140,2,60,140,88.28801035,0,88.28781413,56.7628,200,2.47E-09,4.69E-14
50,2,80,120,0,0,0,0.01,60,140,2,80,120,88.28801035,0,88.28781413,56.7715,200,2.47E-09,4.69E-14
51,2,80,120,0,0,0,0.01,60,140,3,1,199,88.28801035,94.03309854,88.5041629,57.6449,200,2.47E-09,4.93E-11
52,2,80,120,0,0,0,0.01,60,140,3,20,180,88.28801035,92.69176603,88.42276544,57.6449,200,2.47E-09,4.87E-11
53,2,80,120,0,0,0,0.01,60,140,3,40,160,88.28801035,67.99437357,88.17151829,57.6449,200,2.47E-09,3.90E-11
54,2,80,120,0,0,0,0.01,60,140,3,60,140,88.28801035,0,88.28781413,57.6449,200,2.47E-09,4.69E-14
55,2,80,120,0,0,0,0.01,60,140,3,80,120,88.28801035,0,88.28781413,57.6627,200,2.47E-09,4.69E-14
56,2,80,120,0,0,0,0.01,60,140,4,1,199,88.28801035,93.59046977,88.57347157,58.5271,200,2.47E-09,7.70E-11
57,2,80,120,0,0,0,0.01,60,140,4,20,180,88.28801035,92.82095088,88.50557343,58.5271,200,2.47E-09,7.65E-11
58,2,80,120,0,0,0,0.01,60,140,4,40,160,88.28801035,49.91402613,88.04817051,58.5271,200,2.47E-09,6.65E-11
59,2,80,120,0,0,0,0.01,60,140,4,60,140,88.28801035,0,88.28781413,58.5271,200,2.47E-09,4.69E-14
60,2,80,120,0,0,0,0.01,60,140,4,80,120,88.28801035,0,88.28781413,58.5543,200,2.47E-09,4.69E-14
61,2,80,120,0,0,0,0.01,80,120,2,1,199,1.402005225,94.11836747,13.70598593,56.7916,200,2.47E-09,2.26E-11
62,2,80,120,0,0,0,0.01,80,120,2,20,180,1.402005225,94.11463834,13.4573564,56.7916,200,2.47E-09,2.21E-11
63,2,80,120,0,0,0,0.01,80,120,2,40,160,1.402005225,93.99533624,8.575383039,56.7916,200,2.47E-09,1.27E-11
64,2,80,120,0,0,0,0.01,80,120,2,60,140,1.402005225,0,1.401978992,56.7916,200,2.47E-09,4.69E-14
65,2,80,120,0,0,0,0.01,80,120,2,80,120,1.402005225,0,1.401978992,56.8002,200,2.47E-09,4.69E-14
66,2,80,120,0,0,0,0.01,80,120,3,1,199,1.402005225,94.12096308,24.61859802,57.674,200,2.47E-09,4.93E-11
67,2,80,120,0,0,0,0.01,80,120,3,20,180,1.402005225,94.1174648,24.4141738,57.674,200,2.47E-09,4.87E-11
68,2,80,120,0,0,0,0.01,80,120,3,40,160,1.402005225,94.03284524,20.55684693,57.674,200,2.47E-09,3.90E-11
69,2,80,120,0,0,0,0.01,80,120,3,60,140,1.402005225,0,1.401978992,57.674,200,2.47E-09,4.69E-14
70,2,80,120,0,0,0,0.01,80,120,3,80,120,1.402005225,0,1.401978992,57.6916,200,2.47E-09,4.69E-14
71,2,80,120,0,0,0,0.01,80,120,4,1,199,1.402005225,94.12069874,33.20992027,58.5565,200,2.47E-09,7.70E-11
72,2,80,120,0,0,0,0.01,80,120,4,20,180,1.402005225,94.12113196,33.053206,58.5565,200,2.47E-09,7.65E-11
73,2,80,120,0,0,0,0.01,80,120,4,40,160,1.402005225,94.11796469,30.21343766,58.5565,200,2.47E-09,6.65E-11
74,2,80,120,0,0,0,0.01,80,120,4,60,140,1.402005225,93.87390447,9.425033728,58.5565,200,2.47E-09,1.46E-11
75,2,80,120,0,0,0,0.01,80,120,4,80,120,1.402005225,0,1.401978992,58.5833,200,2.47E-09,4.69E-14
76,2,80,120,0,0,0,0.05,1,199,2,1,199,59.05888877,84.02906229,60.08561009,56.7217,200,2.47E-09,4.14E-11
77,2,80,120,0,0,0,0.05,1,199,2,20,180,59.05888877,58.67970586,59.05285609,56.7217,200,2.47E-09,4.04E-11
78,2,80,120,0,0,0,0.05,1,199,2,40,160,59.05888876,58.75758089,59.05685043,56.7217,200,2.47E-09,1.70E-11
79,2,80,120,0,0,0,0.05,1,199,2,60,140,59.05888881,56.38490428,59.04295078,56.7217,200,2.47E-09,1.58E-11
80,2,80,120,0,0,0,0.05,1,199,2,80,120,59.05888877,56.3849046,59.04295074,56.7305,200,2.47E-09,1.58E-11
81,2,80,120,0,0,0,0.05,1,199,3,1,199,59.05888876,78.81232776,60.06194781,57.6039,200,2.47E-09,6.85E-11
82,2,80,120,0,0,0,0.05,1,199,3,20,180,59.05888876,66.14794193,59.28390213,57.6039,200,2.47E-09,6.71E-11
83,2,80,120,0,0,0,0.05,1,199,3,40,160,59.0588887,46.65423445,58.89283928,57.6039,200,2.47E-09,4.37E-11
84,2,80,120,0,0,0,0.05,1,199,3,60,140,59.05900381,56.38490398,59.04306513,57.6039,200,2.47E-09,1.58E-11
85,2,80,120,0,0,0,0.05,1,199,3,80,120,59.05888877,56.3849046,59.04295074,57.6217,200,2.47E-09,1.58E-11
86,2,80,120,0,0,0,0.05,1,199,4,1,199,59.05888876,83.30575962,61.18117293,58.486,200,2.47E-09,9.68E-11
87,2,80,120,0,0,0,0.05,1,199,4,20,180,59.05888876,59.68521208,59.08239448,58.486,200,2.47E-09,9.50E-11
88,2,80,120,0,0,0,0.05,1,199,4,40,160,59.05888867,25.3786758,58.53636704,58.486,200,2.47E-09,7.11E-11
89,2,80,120,0,0,0,0.05,1,199,4,60,140,59.05900382,56.38490315,59.04306514,58.486,200,2.47E-09,1.58E-11
90,2,80,120,0,0,0,0.05,1,199,4,80,120,59.05888877,56.3849046,59.04295074,58.5132,200,2.47E-09,1.58E-11
91,2,80,120,0,0,0,0.05,20,180,2,1,199,65.01703227,76.75937994,65.21826526,56.7219,200,2.47E-09,2.87E-11
92,2,80,120,0,0,0,0.05,20,180,2,20,180,65.01703227,71.95634985,65.11094074,56.7219,200,2.47E-09,2.72E-11
93,2,80,120,0,0,0,0.05,20,180,2,40,160,65.01703227,0,64.97739359,56.7219,200,2.47E-09,4.31E-12
94,2,80,120,0,0,0,0.05,20,180,2,60,140,65.0170323,0,64.97739362,56.7219,200,2.47E-09,4.31E-12
95,2,80,120,0,0,0,0.05,20,180,2,80,120,65.01703227,0,64.97739359,56.7307,200,2.47E-09,4.31E-12
96,2,80,120,0,0,0,0.05,20,180,3,1,199,65.01703227,70.84479118,65.16803114,57.604,200,2.47E-09,5.48E-11
97,2,80,120,0,0,0,0.05,20,180,3,20,180,65.01703227,41.595247,64.7196621,57.604,200,2.47E-09,5.31E-11
98,2,80,120,0,0,0,0.05,20,180,3,40,160,65.01703226,59.93688719,64.99511998,57.604,200,2.47E-09,1.23E-11
99,2,80,120,0,0,0,0.05,20,180,3,60,140,65.01712421,0,64.97748558,57.604,200,2.47E-09,4.31E-12
100,2,80,120,0,0,0,0.05,20,180,3,80,120,65.01703227,0,64.97739359,57.6219,200,2.47E-09,4.31E-12
101,2,80,120,0,0,0,0.05,20,180,4,1,199,65.01703227,74.53317997,65.43306116,58.4862,200,2.47E-09,8.23E-11
102,2,80,120,0,0,0,0.05,20,180,4,20,180,65.01703226,46.18734316,64.62677517,58.4862,200,2.47E-09,8.05E-11
103,2,80,120,0,0,0,0.05,20,180,4,40,160,65.01703225,43.6096947,64.80636237,58.4862,200,2.47E-09,3.96E-11
104,2,80,120,0,0,0,0.05,20,180,4,60,140,65.01720247,0,64.97756388,58.4862,200,2.47E-09,4.31E-12
105,2,80,120,0,0,0,0.05,20,180,4,80,120,65.01703227,0,64.97739359,58.5134,200,2.47E-09,4.31E-12
106,2,80,120,0,0,0,0.05,40,160,2,1,199,78.57485753,82.2463523,78.61485881,56.7225,200,2.47E-09,2.26E-11
107,2,80,120,0,0,0,0.05,40,160,2,20,180,78.57485753,66.00467677,78.5045742,56.7225,200,2.47E-09,2.21E-11
108,2,80,120,0,0,0,0.05,40,160,2,40,160,78.57485753,0,78.57453806,56.7225,200,2.47E-09,4.69E-14
109,2,80,120,0,0,0,0.05,40,160,2,60,140,78.57485753,0,78.57453806,56.7225,200,2.47E-09,4.69E-14
110,2,80,120,0,0,0,0.05,40,160,2,80,120,78.57485753,0,78.57453806,56.7313,200,2.47E-09,4.69E-14
111,2,80,120,0,0,0,0.05,40,160,3,1,199,78.57485753,88.48943893,78.92928637,57.6047,200,2.47E-09,4.93E-11
112,2,80,120,0,0,0,0.05,40,160,3,20,180,78.57485753,60.55236151,78.3840933,57.6047,200,2.47E-09,4.87E-11
113,2,80,120,0,0,0,0.05,40,160,3,40,160,78.57485753,44.47379372,78.49958969,57.6047,200,2.47E-09,1.42E-11
114,2,80,120,0,0,0,0.05,40,160,3,60,140,78.57488204,0,78.57456257,57.6047,200,2.47E-09,4.69E-14
115,2,80,120,0,0,0,0.05,40,160,3,80,120,78.57485753,0,78.57453806,57.6225,200,2.47E-09,4.69E-14
116,2,80,120,0,0,0,0.05,40,160,4,1,199,78.57485753,90.33018072,79.33354659,58.4868,200,2.47E-09,7.70E-11
117,2,80,120,0,0,0,0.05,40,160,4,20,180,78.57485753,59.38993306,78.2670855,58.4868,200,2.47E-09,7.65E-11
118,2,80,120,0,0,0,0.05,40,160,4,40,160,78.57485753,36.56067553,78.35834956,58.4868,200,2.47E-09,3.79E-11
119,2,80,120,0,0,0,0.05,40,160,4,60,140,78.57488204,0,78.57456257,58.4868,200,2.47E-09,4.69E-14
120,2,80,120,0,0,0,0.05,40,160,4,80,120,78.57485753,0,78.57453806,58.514,200,2.47E-09,4.69E-14
121,2,80,120,0,0,0,0.05,60,140,2,1,199,88.37213795,91.40096025,88.40906536,56.7248,200,2.47E-09,2.26E-11
122,2,80,120,0,0,0,0.05,60,140,2,20,180,88.37213795,89.77907272,88.38627436,56.7248,200,2.47E-09,2.21E-11
123,2,80,120,0,0,0,0.05,60,140,2,40,160,88.37213795,42.83689674,88.32481573,56.7248,200,2.47E-09,1.27E-11
124,2,80,120,0,0,0,0.05,60,140,2,60,140,88.37213795,0,88.37194295,56.7248,200,2.47E-09,4.69E-14
125,2,80,120,0,0,0,0.05,60,140,2,80,120,88.37213795,0,88.37194295,56.7336,200,2.47E-09,4.69E-14
126,2,80,120,0,0,0,0.05,60,140,3,1,199,88.37213795,93.61325406,88.55554299,57.607,200,2.47E-09,4.93E-11
127,2,80,120,0,0,0,0.05,60,140,3,20,180,88.37213795,94.10956219,88.58687332,57.607,200,2.47E-09,4.87E-11
128,2,80,120,0,0,0,0.05,60,140,3,40,160,88.37213795,66.23467949,88.25250914,57.607,200,2.47E-09,3.90E-11
129,2,80,120,0,0,0,0.05,60,140,3,60,140,88.37213795,0,88.37194295,57.607,200,2.47E-09,4.69E-14
130,2,80,120,0,0,0,0.05,60,140,3,80,120,88.37213795,0,88.37194295,57.6248,200,2.47E-09,4.69E-14
131,2,80,120,0,0,0,0.05,60,140,4,1,199,88.37213795,95.75930433,88.95324628,58.4891,200,2.47E-09,7.70E-11
132,2,80,120,0,0,0,0.05,60,140,4,20,180,88.37213795,96.22412424,89.05445173,58.4891,200,2.47E-09,7.65E-11
133,2,80,120,0,0,0,0.05,60,140,4,40,160,88.37213795,85.16575402,88.30593433,58.4891,200,2.47E-09,6.65E-11
134,2,80,120,0,0,0,0.05,60,140,4,60,140,88.37213795,0,88.37194295,58.4891,200,2.47E-09,4.69E-14
135,2,80,120,0,0,0,0.05,60,140,4,80,120,88.37213795,0,88.37194295,58.5163,200,2.47E-09,4.69E-14
136,2,80,120,0,0,0,0.05,80,120,2,1,199,1.402005225,94.07832999,13.62848938,56.7527,200,2.47E-09,2.26E-11
137,2,80,120,0,0,0,0.05,80,120,2,20,180,1.402005225,94.07457705,13.38120839,56.7527,200,2.47E-09,2.21E-11
138,2,80,120,0,0,0,0.05,80,120,2,40,160,1.402005225,93.95451505,8.527532268,56.7527,200,2.47E-09,1.27E-11
139,2,80,120,0,0,0,0.05,80,120,2,60,140,1.402005225,0,1.401978992,56.7527,200,2.47E-09,4.69E-14
140,2,80,120,0,0,0,0.05,80,120,2,80,120,1.402005225,0,1.401978992,56.7613,200,2.47E-09,4.69E-14
141,2,80,120,0,0,0,0.05,80,120,3,1,199,1.402005225,94.08094214,24.49075864,57.6351,200,2.47E-09,4.93E-11
142,2,80,120,0,0,0,0.05,80,120,3,20,180,1.402005225,94.07742155,24.28711822,57.6351,200,2.47E-09,4.87E-11
143,2,80,120,0,0,0,0.05,80,120,3,40,160,1.402005225,93.99226274,20.44572126,57.6351,200,2.47E-09,3.90E-11
144,2,80,120,0,0,0,0.05,80,120,3,60,140,1.402005225,0,1.401978992,57.6351,200,2.47E-09,4.69E-14
145,2,80,120,0,0,0,0.05,80,120,3,80,120,1.402005225,0,1.401978992,57.6527,200,2.47E-09,4.69E-14
146,2,80,120,0,0,0,0.05,80,120,4,1,199,1.402005225,94.08067613,33.05463803,58.5176,200,2.47E-09,7.70E-11
147,2,80,120,0,0,0,0.05,80,120,4,20,180,1.402005225,94.0811121,32.89832802,58.5176,200,2.47E-09,7.65E-11
148,2,80,120,0,0,0,0.05,80,120,4,40,160,1.402005225,94.0779246,30.06650557,58.5176,200,2.47E-09,6.65E-11
149,2,80,120,0,0,0,0.05,80,120,4,60,140,1.402005225,93.83231967,9.372018134,58.5176,200,2.47E-09,1.46E-11
150,2,80,120,0,0,0,0.05,80,120,4,80,120,1.402005225,0,1.401978992,58.5443,200,2.47E-09,4.69E-14
151,2,80,120,0,0,0,0.1,1,199,2,1,199,85.44789513,95.11346926,85.91563552,56.677,200,2.47E-09,4.22E-11
152,2,80,120,0,0,0,0.1,1,199,2,20,180,85.44789512,96.25714626,86.10892174,56.677,200,2.47E-09,4.14E-11
153,2,80,120,0,0,0,0.1,1,199,2,40,160,85.44789512,94.34912934,85.6773647,56.677,200,2.47E-09,2.54E-11
154,2,80,120,0,0,0,0.1,1,199,2,60,140,85.44789514,92.05333403,85.52646511,56.677,200,2.47E-09,1.63E-11
155,2,80,120,0,0,0,0.1,1,199,2,80,120,85.44789513,92.05333404,85.5264651,56.6858,200,2.47E-09,1.63E-11
156,2,80,120,0,0,0,0.1,1,199,3,1,199,85.44789512,97.38390269,87.06282435,57.5591,200,2.47E-09,6.96E-11
157,2,80,120,0,0,0,0.1,1,199,3,20,180,85.44789512,97.20709669,86.92963677,57.5591,200,2.47E-09,6.85E-11
158,2,80,120,0,0,0,0.1,1,199,3,40,160,85.44789512,96.32593471,86.28601407,57.5591,200,2.47E-09,5.21E-11
159,2,80,120,0,0,0,0.1,1,199,3,60,140,85.44789514,92.05333364,85.5264651,57.5591,200,2.47E-09,1.63E-11
160,2,80,120,0,0,0,0.1,1,199,3,80,120,85.44789513,92.05333404,85.5264651,57.577,200,2.47E-09,1.63E-11
161,2,80,120,0,0,0,0.1,1,199,4,1,199,85.44789512,97.31825921,87.5475048,58.4413,200,2.47E-09,9.80E-11
162,2,80,120,0,0,0,0.1,1,199,4,20,180,85.44789512,97.68029293,87.85302968,58.4413,200,2.47E-09,9.65E-11
163,2,80,120,0,0,0,0.1,1,199,4,40,160,85.44789512,97.84320716,87.65586206,58.4413,200,2.47E-09,7.95E-11
164,2,80,120,0,0,0,0.1,1,199,4,60,140,85.44789514,92.05333364,85.5264651,58.4413,200,2.47E-09,1.63E-11
165,2,80,120,0,0,0,0.1,1,199,4,80,120,85.44789513,92.05333404,85.5264651,58.4685,200,2.47E-09,1.63E-11
166,2,80,120,0,0,0,0.1,20,180,2,1,199,85.49753363,93.61629023,85.71087565,56.677,200,2.47E-09,2.94E-11
167,2,80,120,0,0,0,0.1,20,180,2,20,180,85.49753363,95.97450562,85.91151921,56.677,200,2.47E-09,2.83E-11
168,2,80,120,0,0,0,0.1,20,180,2,40,160,85.49753363,94.95255486,85.54798007,56.677,200,2.47E-09,4.62E-12
169,2,80,120,0,0,0,0.1,20,180,2,60,140,85.49753363,94.95255486,85.54798006,56.677,200,2.47E-09,4.62E-12
170,2,80,120,0,0,0,0.1,20,180,2,80,120,85.49753363,94.95255486,85.54798007,56.6858,200,2.47E-09,4.62E-12
171,2,80,120,0,0,0,0.1,20,180,3,1,199,85.49753363,96.64812619,86.48951863,57.5592,200,2.47E-09,5.58E-11
172,2,80,120,0,0,0,0.1,20,180,3,20,180,85.49753363,96.26017363,86.3440964,57.5592,200,2.47E-09,5.45E-11
173,2,80,120,0,0,0,0.1,20,180,3,40,160,85.49753363,94.31538483,85.71950525,57.5592,200,2.47E-09,2.50E-11
174,2,80,120,0,0,0,0.1,20,180,3,60,140,85.49753363,94.95255486,85.54798006,57.5592,200,2.47E-09,4.62E-12
175,2,80,120,0,0,0,0.1,20,180,3,80,120,85.49753363,94.95255486,85.54798007,57.577,200,2.47E-09,4.62E-12
176,2,80,120,0,0,0,0.1,20,180,4,1,199,85.49753363,96.95186145,87.08441143,58.4413,200,2.47E-09,8.36E-11
177,2,80,120,0,0,0,0.1,20,180,4,20,180,85.49753363,97.52394459,87.45733032,58.4413,200,2.47E-09,8.22E-11
178,2,80,120,0,0,0,0.1,20,180,4,40,160,85.49753362,95.03665725,86.05297995,58.4413,200,2.47E-09,5.24E-11
179,2,80,120,0,0,0,0.1,20,180,4,60,140,85.49753363,94.95255486,85.54798006,58.4413,200,2.47E-09,4.62E-12
180,2,80,120,0,0,0,0.1,20,180,4,80,120,85.49753363,94.95255486,85.54798007,58.4685,200,2.47E-09,4.62E-12
181,2,80,120,0,0,0,0.1,40,160,2,1,199,86.09749543,93.18013635,86.22687287,56.6772,200,2.47E-09,2.26E-11
182,2,80,120,0,0,0,0.1,40,160,2,20,180,86.09749543,92.81875476,86.2116119,56.6772,200,2.47E-09,2.21E-11
183,2,80,120,0,0,0,0.1,40,160,2,40,160,86.09749543,0,86.09726828,56.6772,200,2.47E-09,4.69E-14
184,2,80,120,0,0,0,0.1,40,160,2,60,140,86.09749543,0,86.09726828,56.6772,200,2.47E-09,4.69E-14
185,2,80,120,0,0,0,0.1,40,160,2,80,120,86.09749543,0,86.09726828,56.686,200,2.47E-09,4.69E-14
186,2,80,120,0,0,0,0.1,40,160,3,1,199,86.09749543,95.17753647,86.5905574,57.5594,200,2.47E-09,4.93E-11
187,2,80,120,0,0,0,0.1,40,160,3,20,180,86.09749543,95.1167834,86.57641687,57.5594,200,2.47E-09,4.87E-11
188,2,80,120,0,0,0,0.1,40,160,3,40,160,86.09749543,94.2900343,86.21908335,57.5594,200,2.47E-09,1.53E-11
189,2,80,120,0,0,0,0.1,40,160,3,60,140,86.09749543,0,86.09726828,57.5594,200,2.47E-09,4.69E-14
190,2,80,120,0,0,0,0.1,40,160,3,80,120,86.09749543,0,86.09726828,57.5772,200,2.47E-09,4.69E-14
191,2,80,120,0,0,0,0.1,40,160,4,1,199,86.09749543,96.666303,87.31219279,58.4415,200,2.47E-09,7.70E-11
192,2,80,120,0,0,0,0.1,40,160,4,20,180,86.09749543,96.67547731,87.30805581,58.4415,200,2.47E-09,7.65E-11
193,2,80,120,0,0,0,0.1,40,160,4,40,160,86.09749543,70.96773848,85.98402851,58.4415,200,2.47E-09,3.90E-11
194,2,80,120,0,0,0,0.1,40,160,4,60,140,86.09749542,0,86.09726827,58.4415,200,2.47E-09,4.69E-14
195,2,80,120,0,0,0,0.1,40,160,4,80,120,86.09749543,0,86.09726828,58.4687,200,2.47E-09,4.69E-14
196,2,80,120,0,0,0,0.1,60,140,2,1,199,88.54506529,94.98946312,88.67679206,56.6786,200,2.47E-09,2.26E-11
197,2,80,120,0,0,0,0.1,60,140,2,20,180,88.54506529,95.59370863,88.70484023,56.6786,200,2.47E-09,2.21E-11
198,2,80,120,0,0,0,0.1,60,140,2,40,160,88.54506529,96.62816701,88.6831065,56.6786,200,2.47E-09,1.27E-11
199,2,80,120,0,0,0,0.1,60,140,2,60,140,88.54506529,0,88.54487281,56.6786,200,2.47E-09,4.69E-14
200,2,80,120,0,0,0,0.1,60,140,2,80,120,88.54506529,0,88.54487281,56.6874,200,2.47E-09,4.69E-14
201,2,80,120,0,0,0,0.1,60,140,3,1,199,88.54506529,96.2775413,88.99162924,57.5608,200,2.47E-09,4.93E-11
202,2,80,120,0,0,0,0.1,60,140,3,20,180,88.54506529,96.69429826,89.06574634,57.5608,200,2.47E-09,4.87E-11
203,2,80,120,0,0,0,0.1,60,140,3,40,160,88.54506529,96.9074102,89.00677057,57.5608,200,2.47E-09,3.90E-11
204,2,80,120,0,0,0,0.1,60,140,3,60,140,88.54506529,0,88.54487281,57.5608,200,2.47E-09,4.69E-14
205,2,80,120,0,0,0,0.1,60,140,3,80,120,88.54506529,0,88.54487281,57.5786,200,2.47E-09,4.69E-14
206,2,80,120,0,0,0,0.1,60,140,4,1,199,88.54506529,97.37694691,89.60228604,58.4429,200,2.47E-09,7.70E-11
207,2,80,120,0,0,0,0.1,60,140,4,20,180,88.54506529,97.76247151,89.80413304,58.4429,200,2.47E-09,7.65E-11
208,2,80,120,0,0,0,0.1,60,140,4,40,160,88.54506529,97.8118843,89.68882485,58.4429,200,2.47E-09,6.65E-11
